Date,Quantity
1/15/2014,6510
1/16/2014,6067
1/17/2014,6185
1/18/2014,3352
1/19/2014,4145
1/20/2014,5368
1/21/2014,1766
1/22/2014,1463
1/23/2014,2450
1/24/2014,2651
1/25/2014,2293
1/26/2014,2588
1/27/2014,4535
1/28/2014,3160
1/29/2014,3185
1/30/2014,4209
1/31/2014,5479
2/1/2014,5409
2/2/2014,5471
2/3/2014,2493
2/4/2014,5226
2/5/2014,3800
2/6/2014,5243
2/7/2014,5447
2/8/2014,4079
2/9/2014,3146
2/10/2014,4482
2/11/2014,4783
2/12/2014,3987
2/13/2014,56
2/14/2014,1949
2/15/2014,1781
2/16/2014,2876
2/17/2014,3349
2/18/2014,5154
2/19/2014,5682
2/20/2014,6631
2/21/2014,5844
2/22/2014,7896
2/23/2014,6152
2/24/2014,5459
2/25/2014,4595
2/26/2014,3958
2/27/2014,4940
2/28/2014,4143
3/1/2014,4604
3/2/2014,3531
3/3/2014,429
3/4/2014,2279
3/5/2014,4554
3/6/2014,4875
3/7/2014,5114
3/8/2014,8494
3/9/2014,5979
3/10/2014,6831
3/11/2014,8446
3/12/2014,6288
3/13/2014,4022
3/14/2014,7035
3/15/2014,10471
3/16/2014,4871
3/17/2014,1296
3/18/2014,4707
3/19/2014,3791
3/20/2014,7602
3/21/2014,7757
3/22/2014,10969
3/23/2014,5364
3/24/2014,5435
3/25/2014,3119
3/26/2014,4980
3/27/2014,6512
3/28/2014,6741
3/29/2014,2298
3/30/2014,906
3/31/2014,8268
4/1/2014,9476
4/2/2014,8987
4/3/2014,9188
4/4/2014,8972
4/5/2014,10841
4/6/2014,9932
4/7/2014,2842
4/8/2014,8957
4/9/2014,9993
4/10/2014,11355
4/11/2014,11539
4/12/2014,15755
4/13/2014,14578
4/14/2014,10724
4/15/2014,1842
4/16/2014,7851
4/17/2014,8713
4/18/2014,9428
4/19/2014,12024
4/20/2014,9627
4/21/2014,9750
4/22/2014,9205
4/23/2014,9029
4/24/2014,9985
4/25/2014,7658
4/26/2014,11627
4/27/2014,11161
4/28/2014,6487
4/29/2014,3148
4/30/2014,1816
5/1/2014,9691
5/2/2014,10449
5/3/2014,11302
5/4/2014,10642
5/5/2014,8169
5/6/2014,10530
5/7/2014,8649
5/8/2014,10523
5/9/2014,10539
5/10/2014,8329
5/11/2014,11092
5/12/2014,9516
5/13/2014,10046
5/14/2014,9815
5/15/2014,9487
5/16/2014,8117
5/17/2014,11334
5/18/2014,10328
5/19/2014,10534
5/20/2014,10956
5/21/2014,8601
5/22/2014,10450
5/23/2014,10532
5/24/2014,10644
5/25/2014,12206
5/26/2014,10809
5/27/2014,8327
5/28/2014,10030
5/29/2014,5366
5/30/2014,10930
5/31/2014,12209
6/1/2014,11075
6/2/2014,10466
6/3/2014,10519
6/4/2014,10276
6/5/2014,10854
6/6/2014,11956
6/7/2014,12002
6/8/2014,10740
6/9/2014,10623
6/10/2014,9619
6/11/2014,8734
6/12/2014,9314
6/13/2014,9590
6/14/2014,12046
6/15/2014,11187
6/16/2014,10624
6/17/2014,10624
6/18/2014,10106
6/19/2014,10570
6/20/2014,11780
6/21/2014,9939
6/22/2014,10948
6/23/2014,10984
6/24/2014,11301
6/25/2014,10311
6/26/2014,11087
6/27/2014,10749
6/28/2014,10974
6/29/2014,10935
6/30/2014,10594
7/1/2014,10600
7/2/2014,9699
7/3/2014,8696
7/4/2014,12024
7/5/2014,12928
7/6/2014,11033
7/7/2014,10165
7/8/2014,8629
7/9/2014,8900
7/10/2014,8800
7/11/2014,11346
7/12/2014,11611
7/13/2014,9435
7/14/2014,8610
7/15/2014,7929
7/16/2014,11425
7/17/2014,11709
7/18/2014,11784
